id,category
pic000000,green
pic000001,red
pic000002,red
pic000003,green
pic000004,green
pic000005,red
pic000006,green
pic000007,green
pic000008,green
pic000009,red
pic000010,disabled
pic000011,green
pic000012,green
pic000013,disabled
pic000014,red
pic000015,green
pic000016,green
pic000017,red
pic000018,red
pic000019,green
pic000020,green
pic000021,green
pic000022,red
pic000023,green
pic000024,green
pic000025,red
pic000026,red
pic000027,red
pic000028,green
pic000029,red
pic000030,red
pic000031,red
pic000032,red
pic000033,red
pic000034,green
pic000035,red
pic000036,yellow
pic000037,red
pic000038,red
pic000039,red
pic000040,green
pic000041,red
pic000042,green
pic000043,red
pic000044,red
pic000045,disabled
pic000046,red
pic000047,red
pic000048,disabled
pic000049,red
pic000050,green
pic000051,green
pic000052,disabled
pic000053,green
pic000054,green
pic000055,red
pic000056,green
pic000057,red
pic000058,red
pic000059,green
pic000060,red
pic000061,red
pic000062,green
pic000063,red
pic000064,green
pic000065,green
pic000066,red
pic000067,yellow
pic000068,green
pic000069,red
pic000070,red
pic000071,red
pic000072,red
pic000073,green
pic000074,red
pic000075,red
pic000076,red
pic000077,red
pic000078,red
pic000079,green
pic000080,green
pic000081,red
pic000082,red
pic000083,green
pic000084,red
pic000085,disabled
pic000086,green
pic000087,green
pic000088,disabled
pic000089,green
pic000090,red
pic000091,green
pic000092,red
pic000093,green
pic000094,yellow
pic000095,red
pic000096,yellow
pic000097,red
pic000098,red
pic000099,red
pic000100,red
pic000101,green
pic000102,red
pic000103,green
pic000104,green
pic000105,red
pic000106,green
pic000107,green
pic000108,green
pic000109,red
pic000110,red
pic000111,red
pic000112,green
pic000113,red
pic000114,disabled
pic000115,green
pic000116,red
pic000117,green
pic000118,green
pic000119,red
pic000120,green
pic000121,green
pic000122,red
pic000123,red
pic000124,red
pic000125,red
pic000126,red
pic000127,red
pic000128,yellow
pic000129,disabled
pic000130,red
pic000131,red
pic000132,red
pic000133,red
pic000134,disabled
pic000135,disabled
pic000136,red
pic000137,red
pic000138,red
pic000139,green
pic000140,red
pic000141,red
pic000142,green
pic000143,green
pic000144,red
pic000145,red
pic000146,red
pic000147,disabled
pic000148,green
pic000149,yellow
pic000150,green
pic000151,red
pic000152,green
pic000153,green
pic000154,red
pic000155,green
pic000156,red
pic000157,green
pic000158,disabled
pic000159,red
pic000160,green
pic000161,red
pic000162,green
pic000163,red
pic000164,red
pic000165,disabled
pic000166,red
pic000167,red
pic000168,green
pic000169,red
pic000170,red
pic000171,green
pic000172,green
pic000173,green
pic000174,red
pic000175,green
pic000176,red
pic000177,red
pic000178,red
pic000179,red
pic000180,green
pic000181,red
pic000182,green
pic000183,red
pic000184,red
pic000185,red
pic000186,red
pic000187,green
pic000188,red
pic000189,red
pic000190,red
pic000191,green
pic000192,red
pic000193,red
pic000194,green
pic000195,green
pic000196,red
pic000197,green
pic000198,green
pic000199,green
pic000200,green
pic000201,red
pic000202,green
pic000203,green
pic000204,green
pic000205,red
pic000206,green
pic000207,green
pic000208,green
pic000209,red
pic000210,green
pic000211,green
pic000212,red
pic000213,green
pic000214,red
pic000215,green
pic000216,red
pic000217,red
pic000218,red
pic000219,red
pic000220,red
pic000221,red
pic000222,red
pic000223,red
pic000224,red
pic000225,red
pic000226,red
pic000227,yellow
pic000228,green
pic000229,green
pic000230,red
pic000231,red
pic000232,green
pic000233,red
pic000234,green
pic000235,red
pic000236,red
pic000237,red
pic000238,red
pic000239,red
pic000240,green
pic000241,green
pic000242,green
pic000243,disabled
pic000244,red
pic000245,red
pic000246,green
pic000247,green
pic000248,red
pic000249,red
pic000250,red
pic000251,green
pic000252,green
pic000253,green
pic000254,red
pic000255,disabled
pic000256,red
pic000257,red
pic000258,red
pic000259,red
pic000260,red
pic000261,red
pic000262,green
pic000263,disabled
pic000264,red
pic000265,disabled
pic000266,red
pic000267,green
pic000268,red
pic000269,yellow
pic000270,red
pic000271,red
pic000272,disabled
pic000273,green
pic000274,red
pic000275,red
pic000276,red
pic000277,red
pic000278,red
pic000279,red
pic000280,red
pic000281,red
pic000282,green
pic000283,red
pic000284,green
pic000285,disabled
pic000286,green
pic000287,green
pic000288,green
pic000289,red
pic000290,red
pic000291,green
pic000292,red
pic000293,green
pic000294,green
pic000295,red
pic000296,red
pic000297,disabled
pic000298,red
pic000299,red
pic000300,red
pic000301,red
pic000302,green
pic000303,red
pic000304,red
pic000305,red
pic000306,green
pic000307,red
pic000308,red
pic000309,red
pic000310,green
pic000311,red
pic000312,green
pic000313,red
pic000314,green
pic000315,green
pic000316,green
pic000317,disabled
pic000318,disabled
pic000319,red
pic000320,red
pic000321,green
pic000322,red
pic000323,green
pic000324,red
pic000325,red
pic000326,red
pic000327,green
pic000328,red
pic000329,green
pic000330,red
pic000331,green
pic000332,red
pic000333,green
pic000334,disabled
pic000335,red
pic000336,red
pic000337,red
pic000338,green
pic000339,red
pic000340,green
pic000341,yellow
pic000342,red
pic000343,red
pic000344,green
pic000345,green
pic000346,red
pic000347,red
pic000348,green
pic000349,red
pic000350,red
pic000351,green
pic000352,green
pic000353,green
pic000354,red
pic000355,green
pic000356,red
pic000357,green
pic000358,green
pic000359,green
pic000360,red
pic000361,red
pic000362,yellow
pic000363,green
pic000364,green
pic000365,disabled
pic000366,green
pic000367,disabled
pic000368,red
pic000369,red
pic000370,yellow
pic000371,red
pic000372,red
pic000373,red
pic000374,green
pic000375,disabled
pic000376,yellow
pic000377,red
pic000378,red
pic000379,green
pic000380,disabled
pic000381,green
pic000382,red
pic000383,disabled
pic000384,red
pic000385,green
pic000386,green
pic000387,red
pic000388,green
pic000389,red
pic000390,green
pic000391,red
pic000392,green
pic000393,green
pic000394,red
pic000395,green
pic000396,red
pic000397,red
pic000398,green
pic000399,green
pic000400,red
pic000401,green
pic000402,red
pic000403,red
pic000404,green
pic000405,red
pic000406,green
pic000407,red
pic000408,red
pic000409,red
pic000410,disabled
pic000411,red
pic000412,green
pic000413,red
pic000414,red
pic000415,red
pic000416,green
pic000417,yellow
pic000418,green
pic000419,green
pic000420,red
pic000421,green
pic000422,red
pic000423,green
pic000424,disabled
pic000425,red
pic000426,green
pic000427,green
pic000428,green
pic000429,green
pic000430,red
pic000431,red
pic000432,green
pic000433,green
pic000434,red
pic000435,red
pic000436,red
pic000437,green
pic000438,red
pic000439,yellow
pic000440,green
pic000441,green
pic000442,disabled
pic000443,green
pic000444,green
pic000445,green
pic000446,red
pic000447,red
pic000448,green
pic000449,disabled
pic000450,red
pic000451,red
