,OptMethod,LineSearch,tol,c1,c2,hf_criterion,entropy,num_iter,oracle_calls,time,rk
0,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.6931471805579457,1,1,0.0009970664978027344,1.0
1,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.5349965883128205,2,4,0.0019943714141845703,0.08834405980639896
2,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.3978534403899163,3,7,0.0029916763305664062,0.02236387963931182
3,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.3507848150583827,4,10,0.00498652458190918,0.0015021022205264042
4,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.3194990631119591,5,13,0.00997304916381836,0.0001525079713680925
5,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.30355407980079624,6,16,0.01495981216430664,1.9615818114223798e-05
6,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.2998790818346292,7,19,0.023935556411743164,6.02588139320602e-07
7,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.29859185202845856,8,22,0.038927555084228516,2.5840077129155613e-08
8,conjugate_gradient,golden_section,1e-08,0.25,,num2006,0.29814613629309933,9,25,0.060865163803100586,9.357282138761668e-10
9,conjugate_gradient,brent,1e-08,0.25,,num2006,0.6931471805579457,1,1,0.0,1.0
10,conjugate_gradient,brent,1e-08,0.25,,num2006,0.5349965883128205,2,4,0.0009982585906982422,0.08834405980639896
11,conjugate_gradient,brent,1e-08,0.25,,num2006,0.3978534403899163,3,7,0.0029921531677246094,0.02236387963931182
12,conjugate_gradient,brent,1e-08,0.25,,num2006,0.3507848150583827,4,10,0.004641294479370117,0.0015021022205264042
13,conjugate_gradient,brent,1e-08,0.25,,num2006,0.3194990631119591,5,13,0.009654760360717773,0.0001525079713680925
14,conjugate_gradient,brent,1e-08,0.25,,num2006,0.30355407980079624,6,16,0.01464223861694336,1.9615818114223798e-05
15,conjugate_gradient,brent,1e-08,0.25,,num2006,0.2998790818346292,7,19,0.0235898494720459,6.02588139320602e-07
16,conjugate_gradient,brent,1e-08,0.25,,num2006,0.29859185202845856,8,22,0.0375523567199707,2.5840077129155613e-08
17,conjugate_gradient,brent,1e-08,0.25,,num2006,0.29814613629309933,9,25,0.05852675437927246,9.357282138761668e-10
18,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.6931471805579457,1,1,0.0009698867797851562,1.0
19,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.5349965883128205,2,4,0.0019941329956054688,0.08834405980639896
20,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.3978534403899163,3,7,0.0029916763305664062,0.02236387963931182
21,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.3507848150583827,4,10,0.004987478256225586,0.0015021022205264042
22,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.3194990631119591,5,13,0.009945392608642578,0.0001525079713680925
23,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.30355407980079624,6,16,0.014932632446289062,1.9615818114223798e-05
24,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.2998790818346292,7,19,0.02390909194946289,6.02588139320602e-07
25,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.29859185202845856,8,22,0.03789806365966797,2.5840077129155613e-08
26,conjugate_gradient,dbrent,1e-08,0.25,,num2006,0.29814613629309933,9,25,0.059351444244384766,9.357282138761668e-10
27,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.6931471805579457,1,1,0.000997304916381836,1.0
28,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.5349965883128205,2,4,0.001994609832763672,0.08834405980639896
29,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.3978534403899163,3,7,0.0029823780059814453,0.02236387963931182
30,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.3507848150583827,4,10,0.00498652458190918,0.0015021022205264042
31,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.3194990631119591,5,13,0.008976459503173828,0.0001525079713680925
32,conjugate_gradient,armijo,1e-08,0.25,,num2006,0.30355407980079624,6,16,0.014932394027709961,1.9615818114223798e-05
