15 Oct 2020 16:19:54 f (-1) ('k'= None, 'x'= None, 'y'= None) 0
15 Oct 2020 16:19:55 f (0) ('k'= None, 'x'= None, 'y'= None) 0
15 Oct 2020 16:19:56 f (1) () 1
15 Oct 2020 16:19:57 f (-1) ('k'= 1, 'x'= 1, 'y'= 1) 0
15 Oct 2020 16:19:58 f (0) ('k'= 1, 'x'= 1, 'y'= 1) 0
15 Oct 2020 16:19:59 f (1) ('k'= 1, 'x'= 1, 'y'= 1) 1
15 Oct 2020 16:20:00 f (2) ('k'= 1, 'x'= 1, 'y'= 1) 3
15 Oct 2020 16:20:01 f (3) ('k'= 1, 'x'= 1, 'y'= 1) 6
15 Oct 2020 16:20:02 f (4) ('k'= 1, 'x'= 1, 'y'= 1) 10
15 Oct 2020 16:20:03 f (5) ('k'= 1, 'x'= 1, 'y'= 1) 15
15 Oct 2020 16:20:04 f (-1) ('k'= 2, 'x'= 2, 'y'= 2) 0
15 Oct 2020 16:20:05 f (0) ('k'= 2, 'x'= 2, 'y'= 2) 0
15 Oct 2020 16:20:06 f (1) ('k'= 2, 'x'= 2, 'y'= 2) 1
15 Oct 2020 16:20:07 f (2) ('k'= 2, 'x'= 2, 'y'= 2) 3
15 Oct 2020 16:20:08 f (3) ('k'= 2, 'x'= 2, 'y'= 2) 6
15 Oct 2020 16:20:09 f (4) ('k'= 2, 'x'= 2, 'y'= 2) 10
15 Oct 2020 16:20:10 f (5) ('k'= 2, 'x'= 2, 'y'= 2) 15
Oct 15 2020 16:22:30 f (-1) ('k'= None, 'x'= None, 'y'= None) 0
Oct 15 2020 16:22:31 f (0) ('k'= None, 'x'= None, 'y'= None) 0
Oct 15 2020 16:22:32 f (1) () 1
Oct 15 2020 16:22:33 f (-1) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 15 2020 16:22:34 f (0) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 15 2020 16:22:35 f (1) ('k'= 1, 'x'= 1, 'y'= 1) 1
Oct 15 2020 16:22:36 f (2) ('k'= 1, 'x'= 1, 'y'= 1) 3
Oct 15 2020 16:22:37 f (3) ('k'= 1, 'x'= 1, 'y'= 1) 6
Oct 15 2020 16:22:38 f (4) ('k'= 1, 'x'= 1, 'y'= 1) 10
Oct 15 2020 16:22:39 f (5) ('k'= 1, 'x'= 1, 'y'= 1) 15
Oct 15 2020 16:22:40 f (-1) ('k'= 2, 'x'= 2, 'y'= 2) 0
Oct 15 2020 16:22:41 f (0) ('k'= 2, 'x'= 2, 'y'= 2) 0
Oct 15 2020 16:22:42 f (1) ('k'= 2, 'x'= 2, 'y'= 2) 1
Oct 15 2020 16:22:43 f (2) ('k'= 2, 'x'= 2, 'y'= 2) 3
Oct 15 2020 16:22:44 f (3) ('k'= 2, 'x'= 2, 'y'= 2) 6
Oct 15 2020 16:22:45 f (4) ('k'= 2, 'x'= 2, 'y'= 2) 10
Oct 15 2020 16:22:46 f (5) ('k'= 2, 'x'= 2, 'y'= 2) 15
Oct 19 2020 14:01:27 f (-1) ('k'= None, 'x'= None, 'y'= None) 0
Oct 19 2020 14:01:28 f (0) ('k'= None, 'x'= None, 'y'= None) 0
Oct 19 2020 14:01:29 f (1) () 1
Oct 19 2020 14:01:30 f (-1) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 19 2020 14:01:31 f (0) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 19 2020 14:01:32 f (1) ('k'= 1, 'x'= 1, 'y'= 1) 1
Oct 19 2020 14:01:33 f (2) ('k'= 1, 'x'= 1, 'y'= 1) 3
Oct 19 2020 14:01:34 f (3) ('k'= 1, 'x'= 1, 'y'= 1) 6
Oct 19 2020 14:01:35 f (4) ('k'= 1, 'x'= 1, 'y'= 1) 10
Oct 19 2020 14:01:36 f (5) ('k'= 1, 'x'= 1, 'y'= 1) 15
Oct 19 2020 14:01:37 f (-1) ('k'= 2, 'x'= 2, 'y'= 2) 0
Oct 19 2020 14:01:38 f (0) ('k'= 2, 'x'= 2, 'y'= 2) 0
Oct 19 2020 14:01:39 f (1) ('k'= 2, 'x'= 2, 'y'= 2) 1
Oct 19 2020 14:01:40 f (2) ('k'= 2, 'x'= 2, 'y'= 2) 3
Oct 19 2020 14:01:41 f (3) ('k'= 2, 'x'= 2, 'y'= 2) 6
Oct 19 2020 14:01:42 f (4) ('k'= 2, 'x'= 2, 'y'= 2) 10
Oct 19 2020 14:01:43 f (5) ('k'= 2, 'x'= 2, 'y'= 2) 15
Oct 19 2020 15:33:11 f (-1) ('k'= None, 'x'= None, 'y'= None) 0
Oct 19 2020 15:33:12 f (0) ('k'= None, 'x'= None, 'y'= None) 0
Oct 19 2020 15:33:13 f (1) () 1
Oct 19 2020 15:33:14 f (-1) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 19 2020 15:33:15 f (0) ('k'= 1, 'x'= 1, 'y'= 1) 0
Oct 19 2020 15:33:16 f (1) ('k'= 1, 'x'= 1, 'y'= 1) 1
Oct 19 2020 15:33:17 f (2) ('k'= 1, 'x'= 1, 'y'= 1) 3
Oct 19 2020 15:33:18 f (3) ('k'= 1, 'x'= 1, 'y'= 1) 6
Oct 19 2020 15:33:19 f (4) ('k'= 1, 'x'= 1, 'y'= 1) 10
